1.Category;2.Code;3.Name;4.Creation Date;5.Date last modification;6.Operational Status;7.Company name;8. User/Email;9.User/Full Name;10. User/Name;11.User/Phone;12.User/Surname;13;14;15;16;17;18;19;20
ANT-Antenna;COD0171ANTeACTrON;AC01/Offic-ANT-0000181;08/09/2021;09/02/2021;ON;ATREBO;jesus.rosa@atrebo.com;Jes?s Rosa;Jes?s;+34 684684;Rosa;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AC01/Offic-ANT-0000181
ANT-Antenna;COD0173ANTeACTrON;AC01/Offic-ANT-0000182;08/09/2021;10/07/2021;ON;ATREBO;jesus.rosa@atrebo.com;Jes?s Rosa;Jes?s;+34 684684;Rosa;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AC01/Offic-ANT-0000182
ANT-Antenna;TestAntenna001;TestAntenna001;08/10/2021;08/10/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Indoor;DOLAR;$;Arag?n;;ON-AIR;ON;TestAntenna001
ANT-Antenna;COD0223ANNaADTrON;AD02/Offic-ANT-0000251ANT035;08/12/2021;08/12/2021;ON;ATREBO;elena.rodriguez@atrebo.com;Elena  Rodriguez;Elena ;+34 66666;Rodriguez;Office;EURO;EUR;Castilla Y Le?n;;ON-AIR;ON;AD02/Offic-ANT-0000251ANT035
ANT-Antenna;AntCG57/22ON002;AntCG57/22ON001;17/08/2021;28/10/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON001
ANT-Antenna;AntCG57/22ON003;AntCG57/22ON002;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON002
ANT-Antenna;AntCG57/22ON004;AntCG57/22ON003;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON003
ANT-Antenna;AntCG57/22ON005;AntCG57/22ON004;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON004
ANT-Antenna;AntCG57/22ON006;AntCG57/22ON005;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON005
ANT-Antenna;AntCG57/22ON007;AntCG57/22ON006;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON006
ANT-Antenna;AntCG57/22ON008;AntCG57/22ON007;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON007
ANT-Antenna;AntCG57/22ON009;AntCG57/22ON008;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON008
ANT-Antenna;AntCG57/22ON010;AntCG57/22ON009;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON009
ANT-Antenna;AntCG57/22ON011;AntCG57/22ON010;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON010
ANT-Antenna;AntCG57/22ON102;AntCG57/22ON101;17/08/2021;11/02/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON101
ANT-Antenna;AntCG57/22ON103;AntCG57/22ON102;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON102
ANT-Antenna;AntCG57/22ON104;AntCG57/22ON103;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON103
ANT-Antenna;AntCG57/22ON105;AntCG57/22ON104;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON104
ANT-Antenna;AntCG57/22ON106;AntCG57/22ON105;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON105
ANT-Antenna;AntCG57/22ON107;AntCG57/22ON106;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON106
ANT-Antenna;AntCG57/22ON108;AntCG57/22ON107;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON107
ANT-Antenna;AntCG57/22ON109;AntCG57/22ON108;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON108
ANT-Antenna;AntCG57/22ON110;AntCG57/22ON109;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON109
ANT-Antenna;AntCG57/22ON111;AntCG57/22ON110;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AntCG57/22ON110
ANT-Antenna;TestAnt/TestNuevaCarga010001;TestAnt/TestNuevaCarga010001;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Arag?n;;ON-AIR;ON;TestAnt/TestNuevaCarga010001
ANT-Antenna;TestAnt/TestNuevaCarga010002;TestAnt/TestNuevaCarga010002;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Rooftop;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;TestAnt/TestNuevaCarga010002
ANT-Antenna;TestAnt/TestNuevaCarga010003;TestAnt/TestNuevaCarga010003;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Indoor;EURO;EUR;Andaluc?a;;ON-AIR;ON;TestAnt/TestNuevaCarga010003
ANT-Antenna;TestAnt/TestNuevaCarga010004;TestAnt/TestNuevaCarga010004;17/08/2021;17/08/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Rooftop;EURO;EUR;Catalu?a;;ON-AIR;ON;TestAnt/TestNuevaCarga010004
ANT-Antenna;COD0237ANDPDPATON;DP92-56ONa-ANT-0000265ANT049;09/08/2021;09/08/2021;ON;ATREBO;francisco.gonzalez@atrebo.com;Francisco Gonz?lez;Francisco;+34 646544;Gonz?lez;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;DP92-56ONa-ANT-0000265ANT049
ANT-Antenna;COD0238ANDPDPATON;DP92-56ONa-ANT-0000266ANT050;09/08/2021;09/08/2021;ON;ATREBO;francisco.gonzalez@atrebo.com;Francisco Gonz?lez;Francisco;+34 646544;Gonz?lez;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;DP92-56ONa-ANT-0000266ANT050
ANT-Antenna;EO100-81ONaaaaa-ANT-0250;ANT-AAAJ=>ON;15/09/2021;15/09/2021;ON;ATREBO;martagarcia@riasport.es;Marta Garc?a;Marta;+34 6016062;Garc?a;Greenfield;EURO;EUR;Arag?n;;ON-AIR;ON;ANT-AAAJ=>ON
ANT-Antenna;EO100-81ONaaaaa-ANT-0251;ANT-AAAK=>ON;15/09/2021;15/09/2021;ON;ATREBO;martagarcia@riasport.es;Marta Garc?a;Marta;+34 6016062;Garc?a;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;ANT-AAAK=>ON
ANT-Antenna;EC_1609;Site 0104;16/09/2021;16/09/2021;ON;ATREBO;martagarcia@riasport.es;Marta Garc?a;Marta;+34 6016062;Garc?a;Greenfield;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;Site 0104
ANT-Antenna;LSTSIT 0102-ANT-0253;ANT-AAAM=>ON;16/09/2021;16/09/2021;ON;ATREBO;martagarcia@riasport.es;Marta Garc?a;Marta;+34 6016062;Garc?a;Greenfield;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT-AAAM=>ON
ANT-Antenna;EP100-82ONaaaaa-ANT-0255;ANT-AAAO=>ON;16/09/2021;16/09/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;ANT-AAAO=>ON
ANT-Antenna;TestFormatoFecha;TestFormatoFecha;16/09/2021;16/09/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;TestFormatoFecha
ANT-Antenna;EV101-88Offi-ANT-0266;ANT-AAAZ=>OFFEV10;24/09/2021;24/09/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;ANT-AAAZ=>OFFEV10
ANT-Antenna;FA106-93Offi-ANT-0273;ANT-AABG=>MA_ONFA10;10/04/2021;10/04/2021;ON;ATREBO;miguelangel.gonzalez@atrebo.com;Miguel ?ngel Gonz?lez Hern?ndez;Miguel ?ngel;+34 684684;Gonz?lez Hern?ndez;Office;DOLAR;$;Andaluc?a;;ON-AIR;ON;ANT-AABG=>MA_ONFA10
ANT-Antenna;EZ105-92Offi-ANT-0276;ANT-AABG=>ONEZ10;10/05/2021;10/05/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Office;DOLAR;$;Andaluc?a;;ON-AIR;ON;ANT-AABG=>ONEZ10
ANT-Antenna;LSTSIT 0104-ANT-0277;ANT-AABH=>ONLSTS;10/05/2021;10/05/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Greenfield;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT-AABH=>ONLSTS
ANT-Antenna;LSTSIT 0104-ANT-0278;ANT-AABI=>ONLSTS;10/05/2021;10/05/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Greenfield;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT-AABI=>ONLSTS
ANT-Antenna;LSTSIT 0104-ANT-0279;ANT-AABJ=>ONLSTS;10/05/2021;10/05/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Greenfield;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT-AABJ=>ONLSTS
ANT-Antenna;LSTSIT 0104-ANT-0280;ANT-AABK=>ONLSTS;10/05/2021;10/05/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Greenfield;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT-AABK=>ONLSTS
ANT-Antenna;MA_TSTFGP20210914-2-ANT-0285;MA_ANT-AABP=>ONTSTF;10/07/2021;10/07/2021;ON;ATREBO;miguelangel.gonzalez@atrebo.com;Miguel ?ngel Gonz?lez Hern?ndez;Miguel ?ngel;+34 684684;Gonz?lez Hern?ndez;Rooftop;DOLAR;$;Andaluc?a;;ON-AIR;ON;MA_ANT-AABP=>ONTSTF
ANT-Antenna;MA_FB107-94Offi-ANT-0287;MA_ANT-AABP=>ONMA_F;10/07/2021;10/07/2021;ON;ATREBO;miguelangel.gonzalez@atrebo.com;Miguel ?ngel Gonz?lez Hern?ndez;Miguel ?ngel;+34 684684;Gonz?lez Hern?ndez;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;MA_ANT-AABP=>ONMA_F
ANT-Antenna;MA_SITE 0030006-ANT-0288;MA_ANT-AABP=>ONSITE;10/07/2021;18/10/2021;ON;ATREBO;miguelangel.gonzalez@atrebo.com;Miguel ?ngel Gonz?lez Hern?ndez;Miguel ?ngel;+34 684684;Gonz?lez Hern?ndez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;MA_ANT-AABP=>ONSITE
ANT-Antenna;MA_SITE 0030006-ANT-0289;MA_ANT-AABP=>ONSITE;10/07/2021;10/07/2021;ON;ATREBO;miguelangel.gonzalez@atrebo.com;Miguel ?ngel Gonz?lez Hern?ndez;Miguel ?ngel;+34 684684;Gonz?lez Hern?ndez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;MA_ANT-AABP=>ONSITE
ANT-Antenna;TSTFGP20210914-ANT-0298;ANT-AABY=>ONTSTF;13/10/2021;11/02/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;ANT-AABY=>ONTSTF
ANT-Antenna;TSTFGP20210914-ANT-0299;ANT-AABZ=>ONTSTF;13/10/2021;11/02/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;ANT-AABZ=>ONTSTF
ANT-Antenna;TSTFGP20210914-ANT-0300;ANT-AACA=>ONTSTF;13/10/2021;13/10/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;ANT-AACA=>ONTSTF
ANT-Antenna;TSTFGP20210914-ANT-0301;ANT-AACB=>ONTSTF;13/10/2021;13/10/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;ANT-AACB=>ONTSTF
ANT-Antenna;TestErrorFormatoFecha0002;TestErrorFormatoFecha0002;19/10/2021;19/10/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Rooftop;DOLAR;$;Andaluc?a;;ON-AIR;ON;TestErrorFormatoFecha0002
ANT-Antenna;TestErrorFormatoFecha0004;TestErrorFormatoFecha0004;19/10/2021;19/10/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Rooftop;DOLAR;$;Andaluc?a;;ON-AIR;ON;TestErrorFormatoFecha0004
ANT-Antenna;TestErrorFormatoFecha0006;TestErrorFormatoFecha0006;19/10/2021;19/10/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Rooftop;DOLAR;$;Andaluc?a;;ON-AIR;ON;TestErrorFormatoFecha0006
ANT-Antenna;TestErrorFormatoFecha1002;TestErrorFormatoFecha1002;19/10/2021;19/10/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Rooftop;DOLAR;$;Andaluc?a;;ON-AIR;ON;TestErrorFormatoFecha1002
ANT-Antenna;TestErrorFormatoFecha1004;TestErrorFormatoFecha1004;19/10/2021;19/10/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Rooftop;DOLAR;$;Andaluc?a;;ON-AIR;ON;TestErrorFormatoFecha1004
ANT-Antenna;TestErrorFormatoFecha1006;TestErrorFormatoFecha1006;19/10/2021;19/10/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Rooftop;DOLAR;$;Andaluc?a;;ON-AIR;ON;TestErrorFormatoFecha1006
ANT-Antenna;TSTFGP20210914-2-ANT-0306;ANT-AACG=>ONTSTF;21/10/2021;21/10/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Rooftop;DOLAR;$;Andaluc?a;;ON-AIR;ON;ANT-AACG=>ONTSTF
ANT-Antenna;117FL-15Gree00004-ANT-0313;ANT-AACQ=>ON117F;26/10/2021;26/10/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Greenfield;EURO;EUR;Madrid;;ON-AIR;ON;ANT-AACQ=>ON117F
ANT-Antenna;TestNuevaCarga006-ANT-0318;ANT0;28/10/2021;28/10/2021;ON;ATREBO;elena.rodriguez@atrebo.com;Elena  Rodriguez;Elena ;+34 66666;Rodriguez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT0
ANT-Antenna;TestNuevaCarga006-ANT-0319;ANT1;28/10/2021;28/10/2021;ON;ATREBO;elena.rodriguez@atrebo.com;Elena  Rodriguez;Elena ;+34 66666;Rodriguez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT1
